ward_code,osni_ward_lgd,nimdm_ward_lgd
95II20,NEWTOWNBREDA Castlereagh,Newtownbreda Castlereagh
95II21,TULLYCARNET Castlereagh,Tullycarnet Castlereagh
95II22,UPPER BRANIEL Castlereagh,Upper Braniel Castlereagh
95II23,WYNCHURCH Castlereagh,Wynchurch Castlereagh
95JJ01,AGIVEY Coleraine,Agivey Coleraine
95JJ02,ATLANTIC Coleraine,Atlantic Coleraine
95JJ03,BALLYSALLY Coleraine,Ballysally Coleraine
95JJ04,CASTLEROCK Coleraine,Castlerock Coleraine
95JJ05,CENTRAL Coleraine,Central Coleraine
95JJ06,CHURCHLAND Coleraine,Churchland Coleraine
95JJ07,CROSS GLEBE Coleraine,Cross Glebe Coleraine
95JJ08,DUNDOOAN Coleraine,Dundooan Coleraine
95JJ09,DUNLUCE Coleraine,Dunluce Coleraine
95JJ10,GARVAGH Coleraine,Garvagh Coleraine
95JJ11,HOPEFIELD Coleraine,Hopefield Coleraine
95JJ12,KILREA Coleraine,Kilrea Coleraine
95JJ13,KNOCKLYNN Coleraine,Knocklynn Coleraine
95JJ14,MACOSQUIN Coleraine,Macosquin Coleraine
95JJ15,MOUNT SANDEL Coleraine,Mount Sandel Coleraine
95JJ16,PORTSTEWART Coleraine,Portstewart Coleraine
95JJ17,RINGSEND Coleraine,Ringsend Coleraine
95JJ18,ROYAL PORTRUSH Coleraine,Royal Portrush Coleraine
95JJ19,STRAND Coleraine,Strand Coleraine
95JJ20,THE CUTS Coleraine,The Cuts Coleraine
95JJ21,UNIVERSITY Coleraine,University Coleraine
95JJ22,WATERSIDE Coleraine,Waterside Coleraine
95KK01,ARDBOE Cookstown,Ardboe Cookstown
95KK02,COAGH Cookstown,Coagh Cookstown
95KK03,DUNNAMORE Cookstown,Dunnamore Cookstown
95KK04,GORTALOWRY Cookstown,Gortalowry Cookstown
95KK05,KILLYCOLPY Cookstown,Killycolpy Cookstown
95KK06,KILLYMOON Cookstown,Killymoon Cookstown
95KK07,LISSAN Cookstown,Lissan Cookstown
95KK08,MONEYMORE Cookstown,Moneymore Cookstown
95KK09,NEWBUILDINGS Cookstown,Newbuildings Cookstown
95KK10,OAKLANDS Cookstown,Oaklands Cookstown
95KK11,OLDTOWN Cookstown,Oldtown Cookstown
95KK12,POMEROY Cookstown,Pomeroy Cookstown
95KK13,SANDHOLES Cookstown,Sandholes Cookstown
95KK14,STEWARTSTOWN Cookstown,Stewartstown Cookstown
95KK15,THE LOOP Cookstown,The Loop Cookstown
95KK16,TULLAGH Cookstown,Tullagh Cookstown
95LL01,AGHAGALLON Craigavon,Aghagallon Craigavon
95LL02,ANNAGH Craigavon,Annagh Craigavon
95LL03,BALLYBAY Craigavon,Ballybay Craigavon
95LL04,BALLYORAN Craigavon,Ballyoran Craigavon
95LL05,BLEARY Craigavon,Bleary Craigavon
95LL06,BROWNSTOWN Craigavon,Brownstown Craigavon
95LL07,CHURCH Craigavon,Church Craigavon
95LL08,CORCRAIN Craigavon,Corcrain Craigavon
95LL09,COURT Craigavon,Court Craigavon
95LL10,DERRYTRASNA Craigavon,Derrytrasna Craigavon
95LL11,DONAGHCLONEY Craigavon,Donaghcloney Craigavon
95LL12,DRUMGASK Craigavon,Drumgask Craigavon
95LL13,DRUMGOR Craigavon,Drumgor Craigavon
95LL14,DRUMNAMOE Craigavon,Drumnamoe Craigavon
95LL15,EDENDERRY Craigavon,Edenderry Craigavon
95LL16,KERNAN Craigavon,Kernan Craigavon
95LL17,KILLYCOMAIN Craigavon,Killycomain Craigavon
95LL18,KNOCKNASHANE Craigavon,Knocknashane Craigavon
95LL19,MAGHERALIN Craigavon,Magheralin Craigavon
95LL20,MOURNEVIEW Craigavon,Mourneview Craigavon
95LL21,PARKLAKE Craigavon,Parklake Craigavon
95LL22,TAGHNEVAN Craigavon,Taghnevan Craigavon
95LL23,TAVANAGH Craigavon,Tavanagh Craigavon
95LL24,THE BIRCHES Craigavon,The Birches Craigavon
95LL25,WARINGSTOWN Craigavon,Waringstown Craigavon
95LL26,WOODVILLE Craigavon,Woodville Craigavon
95MM01,ALTNAGELVIN Derry,Altnagelvin Derry
95MM02,BALLYNASHALLOG Derry,Ballynashallog Derry
95MM03,BANAGHER Derry,Banagher Derry
95MM04,BEECHWOOD Derry,Beechwood Derry
95MM05,BRANDYWELL Derry,Brandywell Derry
95MM06,CARN HILL Derry,Carn Hill Derry
95MM07,CAW Derry,Caw Derry
95MM08,CLONDERMOT Derry,Clondermot Derry
95MM09,CLAUDY Derry,Claudy Derry
95MM10,CREGGAN CENTRAL Derry,Creggan Central Derry
95MM11,CREGGAN SOUTH Derry,Creggan South Derry
95MM12,CREVAGH Derry,Crevagh Derry
95MM13,CULMORE Derry,Culmore Derry
95MM14,EBRINGTON Derry,Ebrington Derry
95MM15,EGLINTON Derry,Eglinton Derry
95MM16,ENAGH Derry,Enagh Derry
95MM17,FOYLE SPRINGS Derry,Foyle Springs Derry
95MM18,HOLLY MOUNT Derry,Holly Mount Derry
95MM19,KILFENNAN Derry,Kilfennan Derry
